Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2001,97.78526,2001,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2002,100,2002,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2002,100,2002,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2002,100,2002,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2003,97.07985,2003,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2003,99.9586,2003,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2003,97.95683,2003,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2004,98.0371,2004,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2004,99.92213,2004,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",28,Antigua and Barbuda,2004,97.2355,2004,,,,,World Bank,,,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,M,,,,,,,,,
