geo_area_name,adjusted_gender_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_gender_parity_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_gender_parity_index_for_completion_rate_by_location_wealth_quintile_and_education_level,adjusted_gender_parity_index_for_participation_rate_in_formal_and_non_formal_education_and_training_ratio,adjusted_gender_parity_index_for_participation_rate_in_organized_learning_one_year_before_the_official_primary_entry_age_ratio,adjusted_gender_parity_index_for_the_proportion_of_teachers_with_the_minimum_required_qualifications_by_education_level_ratio,adjusted_immigration_status_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_immigration_status_parity_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_language_test_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_location_parity_index_for_completion_rate_by_sex_wealth_quintile_and_education_level,adjusted_low_to_high_socio_economic_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_low_to_high_socio_economic_parity_status_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_rural_to_urban_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_wealth_parity_index_for_completion_rate_by_sex_location_and_education_level,completion_rate_by_sex_location_wealth_quintile_and_education_level_percent,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_curricula,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_national_education_policies,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_student_assessment,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_teacher_education,gender_parity_index_for_youth_adults_with_information_and_communications_technology_ict_skills_by_type_of_skill_ratio,participation_rate_in_formal_and_non_formal_education_and_training_by_sex_percent,participation_rate_in_organized_learning_one_year_before_the_official_primary_entry_age_by_sex_percent,proportion_of_children_aged_36_59_months_who_are_developmentally_on_track_in_at_least_three_of_the_following_domains_literacy_numeracy_physical_development_social_emotional_development_and_learning_percent_of_children_aged_36_59_months,proportion_of_children_and_young_people_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_percent,proportion_of_population_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_sex_age_and_type_of_skill_percent,proportion_of_schools_with_access_to_access_to_single_sex_basic_sanitation_by_education_level_percent,proportion_of_schools_with_access_to_computers_for_pedagogical_purposes_by_education_level_percent,proportion_of_schools_with_access_to_electricity_by_education_level_percent,proportion_of_schools_with_access_to_adapted_infrastructure_and_materials_for_students_with_disabilities_by_education_level_percent,proportion_of_schools_with_access_to_basic_drinking_water_by_education_level_percent,proportion_of_schools_with_access_to_the_internet_for_pedagogical_purposes_by_education_level_percent,proportion_of_schools_with_basic_handwashing_facilities_by_education_level_percent,proportion_of_teachers_with_the_minimum_required_qualifications_by_education_level_and_sex_percent,proportion_of_youth_and_adults_with_information_and_communications_technology_ict_skills_by_sex_and_type_of_skill_percent,total_official_flows_for_scholarships_by_recipient_countries_millions_of_constant_2019_united_states_dollars
Saint_Lucia,NA,NA,0.3136616666666667,NA,1.01881,1.2957159999999999,NA,NA,NA,0.22214611111111113,NA,NA,NA,0.1997914814814815,95.96666555555555,NA,NA,NA,NA,NA,NA,99.05592666666666,91.43333333333334,NA,NA,100,100,100,5.760683333333334,100,100,97.33333333333333,70.23016,NA,0.6
Samoa,NA,NA,0.9239161111111112,NA,1.01435,1.14779,NA,NA,NA,0.6076996296296296,NA,NA,NA,0.5527640740740741,74.47809111111111,NA,NA,NA,NA,NA,0.733085,35.05919,73.47788666666666,16.65,NA,99.61464666666667,99.594705,99.61464666666667,63.39114,99.61464666666667,99.594705,99.61464666666667,54.29670333333333,NA,7.1
Timor-Leste,NA,NA,1.0316148148148148,0.68867,1.05963,NA,NA,NA,NA,0.7128364814814815,NA,NA,NA,0.3346092592592593,63.40813080246914,NA,NA,NA,NA,NA,5.11197,50.20142666666667,53.266666666666666,NA,NA,NA,NA,82.36324666666667,NA,66.93632333333333,NA,64.88962666666667,NA,NA,5.4
Tuvalu,NA,NA,0.2233381632653061,NA,1.09776,1.44231,NA,NA,NA,0.14646857142857145,NA,NA,NA,0.05283791666666666,23.08268433121019,NA,NA,NA,NA,NA,NA,95.06956,68.50111,NA,NA,96.66666666666667,95,96.66666666666667,3.333333333333333,100,97.5,100,63.392473333333335,NA,1
Vanuatu,NA,NA,0.722667962962963,0.94224,1.03816,1.31286,NA,NA,NA,0.28984444444444446,NA,NA,NA,0.12657851851851853,47.28888777777778,NA,NA,NA,NA,NA,0.88872,98.07037333333334,NA,NA,NA,NA,NA,66.90647,NA,49.64029,NA,NA,45.54474,NA,2.4
Palau,NA,NA,NA,1.38675,1.20014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9956466666666666,89.7673,NA,NA,NA,89.47368666666667,88.980265,89.47368666666667,89.47368666666667,89.47368666666667,88.980265,89.47368666666667,NA,NA,0.1
Solomon_Islands,NA,NA,NA,0.81766,1.03996,0.98488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.514096666666667,65.66759666666667,NA,74,NA,NA,30.0994825,56.10425,NA,58.829860000000004,8.463435,NA,88.0864,NA,4.5
Anguilla,NA,NA,NA,NA,1.14233,1.67279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.85994333333333,NA,NA,NA,100,100,100,100,100,100,100,50.876014999999995,NA,0
Antigua_and_Barbuda,NA,NA,NA,NA,1.09696,1.2014550000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.11364333333333,NA,NA,NA,100,97.5,100,4.6969666666666665,100,97.5,100,55.1931225,NA,0.2
Aruba,NA,NA,NA,NA,1.00022,1.0208933333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.98908333333333,NA,NA,NA,NA,100,100,NA,NA,NA,NA,98.21561333333334,NA,NA
Bahamas,NA,NA,NA,NA,1.10093,1.1622575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.59118,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,81.85741,NA,NA
British_Virgin_Islands,NA,NA,NA,NA,1.05638,1.14601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.17394333333333,NA,NA,NA,88.50732666666667,89.97024,91.07143,74.40476333333334,88.50732666666667,89.97024,91.07143,62.92998888888889,NA,NA
Cabo_Verde,NA,NA,NA,NA,1.00831,1.205806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6978285714285715,NA,81.20235666666666,NA,NA,NA,97.65432,86.11111,95.63786,NA,100,82.28395,93.66255,81.13563666666667,9.324991428571428,2.5
Cook_Islands,NA,NA,NA,NA,1.14106,1.3228166666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.174265,92.87507333333333,NA,NA,NA,100,100,100,100,100,100,100,87.2439488888889,NA,0.1
Curaçao,NA,NA,NA,NA,1.05431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.56360666666667,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,20.11271888888889,NA
Dominica,NA,NA,NA,NA,1.07473,1.3866233333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.24051,NA,NA,NA,100,100,100,100,100,100,100,34.327463333333334,NA,0.5
Grenada,NA,NA,NA,NA,0.98886,1.14791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.76541333333333,NA,NA,NA,NA,100,100,20.99567,100,100,97.22222000000001,38.55340666666667,NA,0
Marshall_Islands,NA,NA,NA,NA,0.94702,0.9910266666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.45423666666667,78.9,NA,NA,76.891255,90.72104,84.456265,21.2766,61.820335,51.00472499999999,67.49409,56.51099555555555,NA,0
Micronesia_(Federated_States_of),NA,NA,NA,NA,0.93272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.95383666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.581426666666665,NA,0.2
Montserrat,NA,NA,NA,NA,1.1935500000000001,1.62906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.15855666666667,NA,NA,NA,100,100,100,8.333333333333332,100,100,100,53.42026555555555,NA,0.1
Nauru,NA,NA,NA,NA,1.07981,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.99977333333334,NA,NA,NA,100,100,100,60,100,NA,85,91.66666666666667,NA,0.7
Niue,NA,NA,NA,NA,0.61905,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.71722333333334,NA,NA,NA,100,100,100,100,100,100,100,16.666666666666668,NA,0.4
Saint_Kitts_and_Nevis,NA,NA,NA,NA,0.78826,1.0792000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612,0.575,0.833,0.8,NA,NA,89.38777666666667,NA,NA,NA,NA,100,100,NA,92.92929333333333,100,92.92929333333333,66.08459500000001,NA,0.2
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,0.58951,1.15234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.77755666666667,NA,NA,NA,97.53086666666667,97.22222500000001,97.53086666666667,97.53086666666667,97.53086666666667,97.22222500000001,97.53086666666667,61.61718,NA,0.2
Sint_Maarten_(Dutch_part),NA,NA,NA,NA,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.97847,NA,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA
Small_island_developing_States_(SIDS),NA,NA,NA,NA,0.99706,1.23135,NA,NA,NA,NA,NA,NA,NA,NA,59.07777777777778,NA,NA,NA,NA,NA,NA,83.35784333333334,77.59918,NA,NA,91.30627,NA,NA,NA,NA,53.51309,NA,74.81164166666667,NA,70.52717
